,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
134,0.614,0.666,1,-3.087,0,0.0541,0.455,0.0,0.23,0.299,143.858,7ijWcf4FsoxoyPK4B9WGp6
135,0.534,0.527,0,-6.154,1,0.0391,0.048,0.0,0.33,0.314,179.908,2zLRE8rUhH2i7maIU5sWVI
136,0.431,0.599,7,-5.439,0,0.298,0.708,0.0,0.121,0.684,79.225,6oKr5vjv2MPG1r5rJNVpUw
137,0.68,0.593,1,-6.496,1,0.176,0.328,0.0,0.105,0.399,94.007,6raQqIU6I73Cl7heEjjkkS
138,0.4,0.565,11,-5.111,1,0.0358,0.818,0.0,0.238,0.292,133.062,5bHIPBAyUdKhTAib5qpqih
139,0.513,0.356,8,-5.301,1,0.0426,0.81,0.0,0.12,0.156,96.346,2GBrW5lRWjAQMhK612qzVg
140,0.536,0.419,3,-8.181,1,0.0753,0.765,0.0,0.186,0.225,115.836,1S2LT0vPyOL0xgkUSGMPsg
141,0.408,0.504,11,-5.99,1,0.0302,0.782,0.0,0.382,0.23,137.691,0NoppScLnCvISNy2CJOnqp
142,0.633,0.736,7,-5.775,1,0.131,0.65,0.0,0.128,0.477,168.05,2zlgwqw8BLX2JGB76LIFeF
143,0.619,0.698,0,-6.618,1,0.042,0.146,0.0,0.262,0.575,90.055,2ENZ9lWpoLAGFDJsDb2Cbt
144,0.445,0.528,10,-7.243,1,0.0744,0.677,0.0,0.155,0.511,203.155,67QGnT1Vdfuuy4HkLTUVjj
145,0.558,0.526,0,-4.686,0,0.033,0.431,0.0,0.126,0.202,124.709,1HYzRuWjmS9LXCkdVHi25K
146,0.524,0.773,6,-4.066,1,0.137,0.281,0.0,0.148,0.322,74.295,0bBrEmo01hYu6gBz4UW9Q8
147,0.639,0.618,7,-5.397,1,0.0969,0.0441,0.0,0.0534,0.392,90.07,68ABnHNR4y2COQa4eaM6PS
148,0.63,0.432,1,-6.721,1,0.0357,0.551,5.84e-06,0.0962,0.343,87.959,3tP6QKbXvtrxiDI7QwKyUf
149,0.764,0.47,4,-5.642,0,0.0433,0.533,0.0,0.133,0.801,119.886,7g97EfyxPG5XZgYmLig9ML
150,0.409,0.743,1,-4.536,1,0.0496,0.225,0.0,0.276,0.441,167.864,3zM2yi75oB3v00sZvWUzIn
151,0.399,0.493,5,-4.995,1,0.0322,0.676,0.0,0.136,0.361,66.123,5Df08ImWepnNDWoOS7pIxq
152,0.782,0.348,0,-8.798,1,0.326,0.637,0.000437,0.126,0.576,141.839,3ySSbGT5BepfePnva86js7
153,0.595,0.901,5,-1.678,1,0.0437,0.552,0.0,0.164,0.526,118.057,7I7TTfKcDDAeSf6HPgbdPT
154,0.522,0.547,10,-3.529,1,0.0288,0.754,0.0,0.119,0.195,133.793,44AbcJTKmV3hipk9gKgUbA
155,0.755,0.665,1,-5.643,1,0.335,0.133,0.0,0.07,0.961,90.041,0SPZ7y0fJiozsuWLSAocOl
156,0.661,0.714,7,-5.524,1,0.114,0.641,0.0,0.287,0.775,92.979,7CkjU55ROZSwb95dzGan0o
157,0.686,0.831,7,-4.488,1,0.0481,0.12,0.0,0.0823,0.579,100.013,1HOcUR5aloWDwLAsPtWwel
158,0.593,0.797,0,-5.674,1,0.262,0.178,0.0,0.336,0.821,90.315,6edYCvijlAPQ1GLPJvDZze
159,0.737,0.605,1,-4.557,1,0.151,0.269,0.0,0.0898,0.802,99.905,4OHq2ao4pXmGq9OOuP3lxb
160,0.466,0.165,7,-8.957,1,0.0324,0.893,0.0,0.409,0.332,147.887,5RKnHL0pcT5fPNB38oL4wv
161,0.702,0.534,9,-6.102,1,0.0282,0.444,0.0,0.108,0.544,93.983,1w2hClDL1xH4FPZIipZ1FJ
